測站代碼,測站名稱,縣市,鄉鎮,觀測網,經度,緯度,測站高程,郵遞區號,詳細地址
HWA048,國福國小,花蓮縣,花蓮市,FreeField,121.5805,24.0095,30,97078,國福里福光街277巷1號
HWA046,富世國小,花蓮縣,秀林鄉,FreeField,121.6291,24.1478,58,97251,富世村127號
HWA045,和平國小,花蓮縣,秀林鄉,FreeField,121.7494,24.309,27,97291,和平村112號
HWA044,新社國小,花蓮縣,豐濱鄉,FreeField,121.5363,23.6517,25,97791,新社村150號
HWA043,磯崎國小,花蓮縣,豐濱鄉,FreeField,121.5476,23.7078,9,97791,磯崎村49號
HWA042,古風國小,花蓮縣,卓溪鄉,FreeField,121.2645,23.2199,207,98292,古風村崙天18號
HWA041,東里國小,花蓮縣,富里鄉,FreeField,121.3026,23.2648,175,98392,東里村道化路74號
HWA039,高寮國小,花蓮縣,玉里鎮,FreeField,121.3593,23.383,141,98148,觀音里高寮92號
HWA038,舞鶴國小,花蓮縣,瑞穗鄉,FreeField,121.3519,23.4588,223,97842,舞鶴村64號
HWA037,春日國小,花蓮縣,玉里鎮,FreeField,121.3936,23.452,97,98145,春日里泰林95號
HWA036,瑞穗國小,花蓮縣,瑞穗鄉,FreeField,121.3745,23.4977,109,97841,溫泉路一段19號
HWA035,鳳信國小,花蓮縣,鳳林鎮,FreeField,121.4446,23.7303,120,97544,中正路一段120巷25號
HWA034,富源國中,花蓮縣,光復鄉,FreeField,121.3837,23.5878,167,97644,大富村中山路一段2號
HWA033,東富國小,花蓮縣,光復鄉,FreeField,121.4827,23.6846,119,97643,東富路61號
HWA032,長橋國小,花蓮縣,鳳林鎮,FreeField,121.4199,23.7083,141,97543,長橋路2號
HWA030,南平中學,花蓮縣,鳳林鎮,FreeField,121.4561,23.784,121,97542,南平里八德路62號
HWA029,光華國小,花蓮縣,吉安鄉,FreeField,121.5777,23.9353,34,97357,光華村光華二街180號
HWA028,嘉里國小,花蓮縣,新城鄉,FreeField,121.6094,24.0144,20,97146,嘉里村3街28號
HWA027,佳民國小,花蓮縣,秀林鄉,FreeField,121.5986,24.0537,32,97242,佳民村119號
HWA026,秀林國小,花蓮縣,秀林鄉,FreeField,121.6245,24.1182,47,97252,秀林村秀林路76號
HWA025,崇德國小,花蓮縣,秀林鄉,FreeField,121.6522,24.1617,39,97253,崇德村72號
HWA024,玉里,花蓮縣,玉里鎮,FreeField,121.3053,23.3508,254,98249,卓溪鄉中正村左側約100米(山林地)
HWA023,新城,花蓮縣,新城鄉,FreeField,121.6045,24.0812,56,97243,加灣村高山青附近(山林地)
HWA021,紅葉,花蓮縣,萬榮鄉,FreeField,121.3299,23.5038,249,97991,(無實際地址)
HWA020,西林國小,花蓮縣,萬榮鄉,FreeField,121.4416,23.812,180,97942,西林村114號
HWA019,花蓮氣象站,花蓮縣,花蓮市,FreeField,121.6135,23.975,18,97048,花崗街24號
HWA015,吉安國小,花蓮縣,吉安鄉,FreeField,121.5627,23.9729,44,97365,吉安村吉安路二段97號
HWA012,明恥國小,花蓮縣,花蓮市,FreeField,121.6314,23.992,28,97061,中興路41號
HWA005,花蓮糖廠,花蓮縣,光復鄉,FreeField,121.4249,23.6606,120,97642,大進村糖廠街19號
HWA004,富里國小,花蓮縣,富里鄉,FreeField,121.2483,23.1727,244,98341,富里村永安街52號
HWA002,豐濱國小,花蓮縣,豐濱鄉,FreeField,121.5202,23.5982,18,97792,豐濱村民族街5號
HWA001,化仁國中水璉分校,花蓮縣,壽豐鄉,FreeField,121.5631,23.789,34,97491,水璉路6號
HWA,花蓮市,花蓮縣,花蓮市,CWB24,121.6135,23.975,18,97048,花崗街24號
HWA,花蓮市,花蓮縣,花蓮市,CWB24,121.6135,23.9751,-103,,花崗街24號
HWA,花蓮,花蓮縣,花蓮市,GroundWater,121.6133,23.9754,16.003,970,花崗街24號
